八只鸡	高建国	方城淞	剧情	中国大陆	2018-07-19	No Choice		null
苦行僧的非凡旅程	肯·斯科特	丹努什/艾琳·莫里亚蒂/贝热尼丝·贝乔/巴克德·阿巴蒂/莎拉·珍妮·拉布罗丝/热拉尔·朱尼奥/希玛·比斯瓦斯/玛尔·索度佩/阿贝尔·贾夫里/斯特凡诺·卡塞蒂/Hearty Singh/Uwamungu Cornelis/Gandharv Dewan/Edwin Gillet/Daniele Nisi/Omkar Ketkar/Amruta Sant/Pauline Maréchal/Christian Bronchart	剧情/喜剧	法国 / 印度	2018-09(中国	衣柜里的冒险王/困在宜家衣柜里的苦行僧/跟着IKEA衣橱去旅行(台)		null
大闹西游	马系海	孙晔/沈达威/陶典/刘北辰	喜剧/动画/冒险	中国大陆	2018-09(中国	Ddventure in Journey to the West		null
相亲时代	蒋君君	李欣烨/郭烁杰/宁小花/孙浩/廖娟	喜剧/爱情	中国大陆	2018-09(中国	Dating Times		null
阴阳师	李蔚然	null	奇幻	中国大陆	2018-10-01	阴阳师电影版		null
古剑奇谭之流月昭明	雷尼·哈林	王力宏/宋茜/高以翔/高圣远/吴千语/张智霖/柳岩/李媛/伍嘉成/那威/纪焕博	动作/奇幻/古装	中国大陆	2018-10-01	古剑奇谭电影版/Legend of the Ancient Sword		null
阿凡提之奇缘历险	刘炜	胡谦/李晔/蒋可/李扬/游军/王衡/王燕华/周南飞/瞿巍/严丽桢/黄晨	喜剧/动画	中国大陆	2018-10-01	阿凡提/The Adventure of Afanti		null
灵魂的救赎	杨真	王迅/黄小蕾/张峻豪/周小镔/刘一莹	剧情	中国大陆	2018-10-12	Save Your Soul		null
功夫联盟	刘镇伟	赵文卓/安志杰/陈国坤/杜宇航/书亚信/麦迪娜/张子文/何云伟/飞儿	剧情/动作	中国大陆	2018-10-19	功夫大联盟		null
燃点	关琇/萧屺楠	罗永浩/戴威/张颖/Papi酱/傅盛/安传东/金星/马薇薇/徐小平/唐岩/许单单/孙海涛/孟雷/潘飞	纪录片	中国大陆	2018-10(中国	null		null
过往的梦	翔子	宫哲/张珏/李骏诚/张悦楠/庄心妍	剧情/爱情/音乐/犯罪	中国大陆	2018-11-11	黑白世界的音符		null
银魂2	福田雄一	小栗旬/菅田将晖/桥本环奈/柳乐优弥/吉泽亮/三浦春马/洼田正孝/室毅/长泽雅美/冈田将生/木村绿子/佐藤二朗/中村勘九郎/堂本刚/堤真一/胜地凉/夏菜/户塚纯贵/立木文彦	喜剧/动作/冒险	日本	2018-11(中国	银魂2：规则是用来打破的/规定就是为了被打破而存在的		null
碟仙实录	程中豪/王凯	李漫荻/齐炫宇/马丁/谢易真	惊悚	中国大陆	2018-12-08	碟仙惊魂		null
素人特工	袁锦麟	王大陆/张榕容/米拉·乔沃维奇/许魏洲/刘美彤/肖战/林雪/大卫·麦金尼斯/鲁诺/陈国坤/周海媚	喜剧/动作/冒险	中国大陆	2018-12-21	The Rookies		null
人间·喜剧	孙周	艾伦/王智/鲁诺/金士杰/任达华	剧情/喜剧	中国大陆	2018-12-28	时代狂人/The Human Comedy		null
阿丽塔：战斗天使	罗伯特·罗德里格兹	罗莎·萨拉查/克里斯托弗·沃尔兹/詹妮弗·康纳利/艾德·斯克林/马赫沙拉·阿里/杰基·厄尔·哈利/米歇尔·罗德里格兹/陈东兰	动作/科幻/冒险	美国 / 加拿大	2018-12(中国	铳梦/铳梦：战斗天使(港)/艾莉塔：战斗天使(台)		null
动物特工局	张志一/纪约姆·伊弗奈	null	动画	中国大陆 / 法国	2018-12(中国	Spysies		null
疯狂的外星人	宁浩	黄渤/沈腾/汤姆·派福瑞/马修·莫里森/凯特·纳尔逊	喜剧/科幻	中国大陆	2019-02-05	Crazy Alien		null
神探蒲松龄之兰若仙踪	严嘉	成龙/阮经天/钟楚曦/林柏宏/林鹏/乔杉/潘长江/苑琼丹/刘智福/刘智满/刘智堂/姜嫄	喜剧/奇幻/古装	中国大陆	2019-02-05	The Knight of Shadows: Between Yin and Yang/Knight of Shadows: Walker Between Halfworlds		null
八仙之各显神通	陆剑青	null	奇幻/冒险	中国大陆 / 香港	2019-02-05	八仙过海之各显神通/八仙降魔/八仙闹海		null
误入江湖	段连民	郭金杰/刘桦/李子雄/杨皓宇/栾浚威/王文/耿一正/辛星/骆言/杨晓丹/赵叶索	喜剧	中国大陆	2019-02-05	null		null
